Ball out of play,70.3
Clearance,56.78
Corner,79.88
Direct free-kick,56.44
Foul,63.84
Goal,72.82
Indirect free-kick,44.39
Kick-off,61.2
Offside,37.69
Penalty,79.1
Red card,3.19
Shots off target,40.56
Shots on target,38.51
Substitution,69.1
Throw-in,68.77
Yellow card,5.99
Yellow->red card,56.44
Average,53.23529411764706
